X,Y,LAYER
40.182,48.190,4

37.324,52.424,4

34.996,56.939,4

33.232,61.702,4

32.033,66.641,4

31.433,71.686,4

31.433,76.766,4

32.033,81.810,4

33.232,86.749,4

34.996,91.512,4

37.324,96.028,4

40.147,100.226,4

43.463,104.071,4

47.202,107.528,4

51.330,110.492,4

55.775,112.926,4

60.502,114.831,4

65.406,116.172,4

70.416,116.948,4

75.496,117.089,4

80.540,116.630,4

85.515,115.607,4

90.348,113.984,4

94.934,111.797,4

99.238,109.081,4

103.154,105.870,4

106.717,102.237,4

109.786,98.180,4

112.362,93.840,4

114.443,89.184,4

115.925,84.315,4

116.807,79.306,4

117.759,74.226,5

122.874,74.226,5

122.592,69.146,5

121.816,64.101,5

120.476,59.197,5

118.676,54.434,5

116.348,49.919,5

113.561,45.650,5

110.386,41.699,5

106.788,38.101,5

102.836,34.890,5

98.568,32.103,5

94.017,29.810,5

89.254,27.976,5

84.351,26.670,5

79.306,25.859,5

74.226,25.612,5

69.146,25.859,5

64.136,26.670,5

59.197,27.976,5

54.470,29.810,5

49.919,32.139,5

45.650,34.890,5

41.699,38.101,5

38.101,41.699,5

34.890,45.650,5

32.139,49.919,5

29.810,54.470,5

28.011,59.197,5

26.670,64.136,5

25.894,69.146,5

25.612,74.226,5

25.894,79.306,5

26.670,84.351,5

28.011,89.254,5

29.810,94.017,5

32.139,98.532,5

34.890,102.801,5

38.101,106.788,5

41.699,110.386,5

45.650,113.561,5

49.919,116.348,5

54.470,118.641,5

59.232,120.476,5

64.136,121.781,5

69.181,122.592,5

74.261,122.839,5

79.341,122.592,5

84.351,121.781,5

89.289,120.476,5

94.017,118.641,5

98.568,116.348,5

102.836,113.561,5

106.788,110.351,5

110.386,106.752,5

113.596,102.801,5

116.348,98.532,5

118.676,94.017,5

120.476,89.254,5

121.816,84.351,5

122.592,79.306,5

117.442,69.075,5

116.524,64.030,5

115.007,59.091,5

112.926,54.364,5

110.315,49.919,5

107.211,45.827,5

103.613,42.122,5

99.591,38.877,5

95.252,36.125,5

90.595,33.902,5

85.726,32.280,5

80.682,31.221,5

75.531,30.763,5

70.380,30.904,5

65.300,31.645,5

60.326,33.021,5

55.528,34.961,5

51.012,37.430,5

46.850,40.429,5

43.040,43.922,5

39.653,47.837,5

36.795,52.106,5

34.432,56.692,5

32.632,61.525,5

31.433,66.535,5

30.833,71.650,5

30.833,76.801,5

31.433,81.916,5

32.632,86.926,5

34.432,91.759,5

36.795,96.345,5

39.653,100.614,5

43.004,104.530,5

46.814,107.987,5

51.012,111.021,5

55.528,113.490,5

60.291,115.431,5

65.265,116.807,5

70.380,117.547,5

75.531,117.724,5

80.646,117.265,5

85.691,116.207,5

90.560,114.549,5

95.216,112.326,5

99.591,109.575,5

103.577,106.329,5

107.176,102.625,5

110.315,98.532,5

112.926,94.123,5

115.007,89.395,5

116.524,84.456,5

117.442,79.376,5

30.128,74.226,6

24.977,74.226,6

25.259,79.306,6

26.035,84.315,6

27.341,89.219,6

29.105,93.946,6

31.398,98.497,6

34.114,102.766,6

37.254,106.752,6

40.782,110.386,6

44.698,113.632,6

48.896,116.454,6

53.376,118.853,6

58.068,120.758,6

62.937,122.169,6

67.911,123.086,6

72.991,123.474,6

78.036,123.333,6

83.081,122.698,6

88.019,121.534,6

92.817,119.841,6

97.404,117.689,6

101.743,115.078,6

105.800,112.044,6

109.504,108.587,6

112.855,104.777,6

115.819,100.649,6

118.288,96.239,6

120.334,91.583,6

121.887,86.749,6

122.910,81.810,6

123.439,76.766,6

123.439,71.686,6

122.910,66.641,6

121.851,61.667,6

120.334,56.833,6

118.288,52.212,6

115.784,47.802,6

112.855,43.639,6

109.504,39.829,6

105.764,36.407,6

101.707,33.373,6

97.368,30.763,6

92.782,28.611,6

87.984,26.953,6

83.045,25.788,6

78.036,25.118,6

72.956,25.012,6

67.911,25.400,6

62.901,26.282,6

58.033,27.729,6

53.341,29.634,6

48.861,32.033,6

44.662,34.855,6

40.782,38.101,6

37.219,41.734,6

34.079,45.721,6

31.362,49.989,6

29.105,54.540,6

27.305,59.268,6

26.035,64.171,6

25.259,69.181,6

30.410,79.341,6

31.292,84.421,6

32.774,89.325,6

34.820,94.052,6

37.360,98.462,6

40.429,102.589,6

43.957,106.329,6

47.908,109.610,6

52.177,112.432,6

56.763,114.760,6

61.596,116.489,6

66.570,117.689,6

71.686,118.288,6

76.801,118.288,6

81.916,117.689,6

86.891,116.489,6

91.724,114.760,6

96.310,112.432,6

100.579,109.610,6

104.530,106.329,6

108.058,102.589,6

111.127,98.462,6

113.667,94.017,6

115.713,89.325,6

117.195,84.386,6

118.077,79.341,6

118.359,74.226,6

118.077,69.110,6

117.159,64.030,6

115.713,59.127,6

113.667,54.434,6

111.092,49.989,6

108.022,45.862,6

104.530,42.122,6

100.579,38.841,6

96.310,36.019,6

91.724,33.726,6

86.891,31.962,6

81.881,30.763,6

76.801,30.163,6

71.650,30.163,6

66.570,30.763,6

61.561,31.962,6

56.763,33.726,6

52.177,36.019,6

47.873,38.841,6

43.957,42.158,6

40.429,45.862,6

37.360,49.989,6

34.820,54.434,6

32.774,59.162,6

31.292,64.065,6

30.410,69.110,6

124.109,74.226,7

123.862,69.110,7

123.051,64.030,7

121.746,59.056,7

119.946,54.258,7

117.653,49.672,7

114.902,45.333,7

111.691,41.311,7

108.128,37.642,7

104.177,34.326,7

99.908,31.468,7

95.393,29.069,7

90.630,27.129,7

85.691,25.683,7

80.646,24.765,7

75.531,24.377,7

70.380,24.518,7

65.300,25.153,7

60.291,26.353,7

55.458,28.046,7

50.801,30.198,7

46.391,32.844,7

42.299,35.949,7

38.524,39.441,7

35.137,43.287,7

32.139,47.485,7

29.634,51.930,7

27.552,56.657,7

26.000,61.525,7

24.942,66.570,7

24.448,71.686,7

24.448,76.801,7

24.977,81.916,7

26.000,86.926,7

27.588,91.830,7

29.634,96.522,7

32.174,101.002,7

35.137,105.200,7

38.524,109.045,7

42.299,112.538,7

46.391,115.607,7

50.801,118.253,7

55.458,120.440,7

60.326,122.134,7

65.300,123.298,7

70.416,123.968,7

75.531,124.074,7

80.646,123.686,7

85.726,122.769,7

90.630,121.322,7

95.393,119.382,7

99.944,116.983,7

104.177,114.125,7

108.128,110.809,7

111.727,107.140,7

114.902,103.119,7

117.653,98.779,7

119.946,94.193,7

121.746,89.395,7

123.051,84.421,7

123.862,79.341,7

74.261,29.493,7

69.146,29.775,7

64.101,30.657,7

59.197,32.068,7

54.505,34.079,7

50.060,36.584,7

45.932,39.582,7

42.158,43.040,7

38.806,46.885,7

35.913,51.118,7

33.550,55.634,7

31.680,60.397,7

30.375,65.335,7

29.669,70.380,7

29.493,75.496,7

29.951,80.576,7

30.974,85.585,7

32.527,90.454,7

34.643,95.110,7

37.289,99.485,7

40.429,103.542,7

43.957,107.176,7

47.943,110.421,7

52.212,113.208,7

56.798,115.431,7

61.631,117.159,7

66.606,118.324,7

71.686,118.923,7

76.766,118.923,7

81.846,118.324,7

86.820,117.159,7

91.653,115.466,7

96.239,113.208,7

100.543,110.457,7

104.494,107.211,7

108.058,103.542,7

111.162,99.520,7

113.808,95.146,7

115.925,90.489,7

117.512,85.621,7

118.535,80.611,7

118.959,75.531,7

118.817,70.416,7

118.112,65.371,7

116.807,60.432,7

114.972,55.669,7

112.573,51.154,7

109.680,46.920,7

106.364,43.040,7

102.589,39.582,7

98.462,36.584,7

94.017,34.079,7

89.289,32.103,7

84.386,30.657,7

79.376,29.775,7

23.742,74.226,8

23.989,79.341,8

24.765,84.386,8

26.071,89.360,8

27.835,94.158,8

30.092,98.744,8

